text,label
"Get free money now",spam
"Hello, how are you?",ham
"Claim your prize today",spam
"Meeting at 3pm",ham
"Click here for a discount",spam
"Reminder: meeting tomorrow",ham
"Exclusive offer for you",spam
"Check out this new product",spam
"Vacation deals inside",spam
"Important update on your account",spam
"Join us for a webinar",ham
"Your invoice is due",ham
"Last chance to register",spam
"Today's agenda",ham
"Congratulations, you've won!",spam
"Feedback on recent purchase",ham
"Your package has shipped",ham
"Limited time offer",spam
"Customer satisfaction survey",ham
"Special promotion ending soon",spam
"Get a quote now",spam
"Check your account balance",ham
"New job opening",ham
"Free trial for new users",spam
"Join our loyalty program",spam
"Invitation to a conference",ham
"Confirm your subscription",ham
"Upgrade your plan",spam
"Meeting cancellation notice",ham
"Your payment is overdue",ham
"Claim your reward",spam
"Exclusive access for members",spam
"Important security update",spam
"Join our affiliate program",spam
"Reminder: appointment tomorrow",ham
"Limited stock available",spam
"Welcome to our newsletter",ham
"New product announcement",spam
"Check out our latest blog post",ham
"Sign up for our webinar",spam
"Your account has been locked",spam
"Request for quotation",ham
"Refer a friend and get rewarded",spam
"Feedback on your recent visit",ham
"Your order has been processed",ham
"Get 50% off today only",spam
"Exclusive offer for subscribers",spam
"Schedule a demo",ham
"Your account has been credited",ham
